group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
keygen_and_prover,,,,,1130125.0,ns,3
keygen_and_prover,,,,,2296916.0,ns,6
keygen_and_prover,,,,,3521208.0,ns,9
keygen_and_prover,,,,,4524500.0,ns,12
keygen_and_prover,,,,,5537791.0,ns,15
keygen_and_prover,,,,,6857666.0,ns,18
keygen_and_prover,,,,,7834875.0,ns,21
keygen_and_prover,,,,,8855958.0,ns,24
keygen_and_prover,,,,,9987791.0,ns,27
keygen_and_prover,,,,,11076416.0,ns,30
keygen_and_prover,,,,,12195333.0,ns,33
keygen_and_prover,,,,,13293958.0,ns,36
keygen_and_prover,,,,,14416541.0,ns,39
keygen_and_prover,,,,,15505541.0,ns,42
keygen_and_prover,,,,,16631666.0,ns,45
keygen_and_prover,,,,,17725000.0,ns,48
keygen_and_prover,,,,,18813458.0,ns,51
keygen_and_prover,,,,,20007166.0,ns,54
keygen_and_prover,,,,,21084958.0,ns,57
keygen_and_prover,,,,,22161125.0,ns,60
keygen_and_prover,,,,,23299208.0,ns,63
keygen_and_prover,,,,,24376416.0,ns,66
keygen_and_prover,,,,,25489416.0,ns,69
keygen_and_prover,,,,,26626416.0,ns,72
keygen_and_prover,,,,,27722083.0,ns,75
keygen_and_prover,,,,,28826541.0,ns,78
keygen_and_prover,,,,,29903541.0,ns,81
keygen_and_prover,,,,,31026291.0,ns,84
keygen_and_prover,,,,,32159208.0,ns,87
keygen_and_prover,,,,,33221166.0,ns,90
keygen_and_prover,,,,,34406041.0,ns,93
keygen_and_prover,,,,,35823625.0,ns,96
keygen_and_prover,,,,,36535125.0,ns,99
keygen_and_prover,,,,,37694625.0,ns,102
keygen_and_prover,,,,,38775000.0,ns,105
keygen_and_prover,,,,,39863541.0,ns,108
keygen_and_prover,,,,,40969750.0,ns,111
keygen_and_prover,,,,,42102916.0,ns,114
keygen_and_prover,,,,,43146666.0,ns,117
keygen_and_prover,,,,,44306208.0,ns,120
keygen_and_prover,,,,,45437416.0,ns,123
keygen_and_prover,,,,,46504083.0,ns,126
keygen_and_prover,,,,,47605166.0,ns,129
keygen_and_prover,,,,,48800500.0,ns,132
keygen_and_prover,,,,,49867166.0,ns,135
keygen_and_prover,,,,,50988541.0,ns,138
keygen_and_prover,,,,,52059291.0,ns,141
keygen_and_prover,,,,,53189125.0,ns,144
keygen_and_prover,,,,,54387250.0,ns,147
keygen_and_prover,,,,,55438958.0,ns,150
keygen_and_prover,,,,,57031750.0,ns,153
keygen_and_prover,,,,,57606708.0,ns,156
keygen_and_prover,,,,,59088291.0,ns,159
keygen_and_prover,,,,,59869916.0,ns,162
keygen_and_prover,,,,,61020375.0,ns,165
keygen_and_prover,,,,,62200625.0,ns,168
keygen_and_prover,,,,,63147291.0,ns,171
keygen_and_prover,,,,,64273875.0,ns,174
keygen_and_prover,,,,,65447458.0,ns,177
keygen_and_prover,,,,,66588208.0,ns,180
keygen_and_prover,,,,,67756000.0,ns,183
keygen_and_prover,,,,,68756750.0,ns,186
keygen_and_prover,,,,,69874833.0,ns,189
keygen_and_prover,,,,,70943500.0,ns,192
keygen_and_prover,,,,,72215375.0,ns,195
keygen_and_prover,,,,,73108291.0,ns,198
keygen_and_prover,,,,,74300333.0,ns,201
keygen_and_prover,,,,,75657708.0,ns,204
keygen_and_prover,,,,,76587166.0,ns,207
keygen_and_prover,,,,,77682916.0,ns,210
keygen_and_prover,,,,,78785458.0,ns,213
keygen_and_prover,,,,,79879791.0,ns,216
keygen_and_prover,,,,,80977875.0,ns,219
keygen_and_prover,,,,,82139958.0,ns,222
keygen_and_prover,,,,,83163750.0,ns,225
keygen_and_prover,,,,,84322625.0,ns,228
keygen_and_prover,,,,,85359375.0,ns,231
keygen_and_prover,,,,,86555625.0,ns,234
keygen_and_prover,,,,,87611291.0,ns,237
keygen_and_prover,,,,,88703416.0,ns,240
keygen_and_prover,,,,,90112250.0,ns,243
keygen_and_prover,,,,,90986333.0,ns,246
keygen_and_prover,,,,,91965625.0,ns,249
keygen_and_prover,,,,,93216916.0,ns,252
keygen_and_prover,,,,,94256791.0,ns,255
keygen_and_prover,,,,,95294916.0,ns,258
keygen_and_prover,,,,,96394750.0,ns,261
keygen_and_prover,,,,,97500541.0,ns,264
keygen_and_prover,,,,,98650416.0,ns,267
keygen_and_prover,,,,,99758750.0,ns,270
keygen_and_prover,,,,,101157166.0,ns,273
keygen_and_prover,,,,,101915166.0,ns,276
keygen_and_prover,,,,,103090041.0,ns,279
keygen_and_prover,,,,,104182291.0,ns,282
keygen_and_prover,,,,,105253083.0,ns,285
keygen_and_prover,,,,,106417541.0,ns,288
keygen_and_prover,,,,,107434208.0,ns,291
keygen_and_prover,,,,,108676125.0,ns,294
keygen_and_prover,,,,,109727416.0,ns,297
keygen_and_prover,,,,,110824333.0,ns,300
